id,ticker,side,limit_price,shares,placed_date,status,filled_date,fill_price,gap_pct,cancel_reason,position_id,adjustments_count,original_limit_price
121,SIFY,buy,13.5168,71.0,2026-09-21,open,,,,,,0,
120,BORR,buy,4.2314,227.0,2026-09-21,open,,,,,,0,
119,GPRE,buy,13.662,70.0,2026-09-21,open,,,,,,0,
118,NEXA,buy,12.3937,77.0,2026-09-21,open,,,,,,0,
117,SHLS,buy,7.5216,128.0,2026-09-21,open,,,,,,0,
116,TMC,buy,3.9744,242.0,2026-09-21,open,,,,,,0,
115,RXT,buy,3.7168,259.0,2026-09-21,open,,,,,,0,
114,NNE,buy,16.416,58.0,2026-09-21,open,,,,,,0,
113,POET,buy,7.7372,124.0,2026-09-21,open,,,,,,0,
112,CRML,buy,8.5836,112.0,2026-09-21,filled,2026-09-22,8.5836,1.09,,59,0,
111,SEDG,buy,32.188,29.0,2026-09-18,open,,,,,,0,
110,ATEX,buy,70.8308,13.0,2026-09-18,open,,,,,,0,
109,WOLF,buy,24.4233,39.0,2026-09-18,open,,,,,,0,
108,SEPN,buy,35.5948,27.0,2026-09-18,open,,,,,,0,
107,BLZE,buy,12.1072,79.0,2026-09-18,open,,,,,,0,
106,EOSE,buy,3.8016,253.0,2026-09-18,open,,,,,,0,
105,SGML,buy,8.8985,100.0,2026-09-18,open,,,,,,1,9.5712
104,AMPX,buy,9.12,105.0,2026-09-18,open,,,,,,0,
103,RCAT,buy,6.48,148.0,2026-09-18,open,,,,,,0,
102,GRPN,buy,17.9802,53.0,2026-09-17,open,,,,,,0,
101,LWLG,buy,4.8237,199.0,2026-09-17,open,,,,,,0,
100,CNL,buy,12.3744,77.0,2026-09-17,open,,,,,,0,
99,AKTS,buy,21.0477,45.0,2026-09-17,filled,2026-09-21,21.0477,1.41,,58,0,
98,ANRO,buy,28.5016,33.0,2026-09-17,open,,,,,,0,
97,IE,buy,9.1008,105.0,2026-09-17,open,,,,,,0,
96,GENB,buy,15.9598,60.0,2026-09-17,open,,,,,,0,
95,CRML,buy,6.5952,145.0,2026-09-17,filled,2026-09-18,6.5952,0.38,,56,0,
