id,ticker,shares,entry_price,entry_date,target_price,commission_paid,status,exit_price,exit_date,exit_reason,realized_pnl,mae_pct,days_held,gap_pct
44,APPS,98.0,9.9636,2026-09-01,10.6611,1.5,open,,,,,,,0.44
43,UROY,238.0,4.114,2026-09-01,4.402,1.5,open,,,,,,,2.04
42,UMAC,43.0,22.6044,2026-09-01,24.1867,1.5,open,,,,,,,0.37
41,AEVA,65.0,15.0092,2026-09-01,16.0598,1.5,open,,,,,,,1.59
40,VZLA,241.0,4.0653,2026-08-31,4.3499,1.5,open,,,,,-5.542028530014714,,3.7
39,RZLV,342.0,2.85,2026-08-31,3.0495,3.0,closed,2.4225,2026-09-01,STOP LOSS,-149.20500000000004,-19.298247287147927,1,1.75
38,MUX,47.0,20.7985,2026-08-31,22.2544,1.5,open,,,,,-8.382814601169407,,4.25
37,LWLG,179.0,5.4648,2026-08-31,5.8473,1.5,open,,,,,-7.041430176656887,,3.02
36,FCEL,57.0,16.8912,2026-08-31,18.0736,1.5,open,,,,,-3.3224405388246345,,0.92
35,ASM,131.0,7.3957,2026-08-31,7.9134,1.5,open,,,,,-6.432114927674924,,3.25
34,ABSI,113.0,8.6664,2026-08-31,9.273,1.5,open,,,,,0.5146363254048206,,0.54
33,USAS,181.0,5.3875,2026-08-28,5.7646,1.5,open,,,,,-2.366585078759429,,0.79
32,UAMY,201.0,4.8576,2026-08-28,5.1976,1.5,open,,,,,-4.994240548456761,,2.73
31,POET,126.0,7.6815,2026-08-28,8.2192,1.5,open,,,,,-8.219750703626532,,2.56
30,GENB,65.0,14.8488,2026-08-28,15.8882,3.0490994999999996,closed,15.8882,2026-09-01,MAL NATT,64.51190049999991,-0.5306795312505306,4,0.71
29,AVBP,31.0,30.6518,2026-08-28,32.7974,1.5,open,,,,,-4.247057655766627,,2.94
28,AGL,10.0,92.233,2026-08-28,98.6893,1.5,open,,,,,-10.433358331235503,,1.35
27,RZLV,344.0,2.85,2026-08-26,3.0495,3.0735419999999998,closed,3.0495,2026-08-28,MAL NATT,65.55445799999995,-3.3462256747172925e-06,2,0.7
26,RXRX,276.0,3.5417,2026-08-26,3.7896,1.5,open,,,,,-8.236157777338567,,3.15
