id,ticker,shares,entry_price,entry_date,target_price,commission_paid,status,exit_price,exit_date,exit_reason,realized_pnl,mae_pct,days_held,gap_pct
78,PROGEN.ST,6759.0,0.1459,2026-09-22,0.1561,2.46534525,open,,,,,,,6.79
77,IZAFE-B.ST,3646.0,0.2717,2026-09-22,0.2907,2.4765455,open,,,,,,,2.1
76,GSKR-SDB.ST,44.0,22.3075,2026-09-22,23.869,2.453825,open,,,,,,,4.96
75,BIOVIC-B.ST,3362.0,0.2957,2026-09-22,0.3164,2.4853585000000002,open,,,,,,,5.65
74,VETT.ST,195.0,5.06,2026-09-21,5.4142,5.1061725,closed,5.4142,2026-09-22,MAL NATT,63.96282750000017,1.9762815694092841,1,1.98
73,TENEO.ST,25720.0,0.0385,2026-09-21,0.0412,2.47555,open,,,,,-8.31168441029338,,12.99
72,SUBGEN.ST,31453.0,0.0315,2026-09-21,0.0337,2.47692375,open,,,,,-2.857142308401684,,3.49
71,QLIFE.ST,600.0,1.6512,2026-09-21,1.7668,2.4768,open,,,,,0.29069877179094056,,2.62
70,LEMSE.ST,595.0,1.6608,2026-09-21,1.7771,2.47044,open,,,,,-5.1059745180354215,,5.47
69,BIOEX.ST,416.0,2.38,2026-09-21,2.5466,2.4751999999999996,open,,,,,-3.78151420785599,,2.52
68,MINEST.ST,832.0,1.1942,2026-09-18,1.2778,2.483936,open,,,,,-10.40026356957901,,3.53
67,FREEM.ST,580.0,1.7112,2026-09-18,1.831,2.48124,open,,,,,-9.069659053415496,,2.99
66,SUBGEN.ST,31237.0,0.0317,2026-09-17,0.0339,5.122868,closed,0.0339,2026-09-18,MAL NATT,63.59853199999999,-1.577289736233296,1,0.32
65,ALZ.ST,2310.0,0.4329,2026-09-16,0.4632,2.4999975,open,,,,,-7.368908966075029,,0.36
64,SPEC.ST,48040.0,0.0207,2026-09-16,0.0221,4.767969926625192,closed,0.01899999938905239,2026-09-21,TIDIG VARNING,-86.43599927654834,-13.043482004156434,5,2.42
