# Auto-genererad av build_universe.py från First North-listan.
# Kör 'python run_daily.py' för att hämta data och se vilka
# som faktiskt har tillräcklig historik och omsättning.

2CUREX  # 2cureX
ORTI-B  # Ortivus
ORT-B  # Ortoma
OSSD  # OssDsign
OXE  # OXE Marine
PAX  # Paxman
PERP-B  # Perpetua Medical
PTRK  # Physitrack
POLYG  # Polygiene Group
PRCO-B  # Precio Fishbone
PCOM-B  # Precomp Solutions
SNX  # Premium Snacks Nordic
PRO  # Promimic
PROGEN  # Prostatype Genomics
QBEN  # Qben Infra
QBIM  # QBIM
QIIWI  # Qiiwi Games
QAIR  # QleanAir
QLIFE  # QLife Holding
QCORE  # Qlucore
QSYS  # Qualisys Holding
RAKE  # Raketech Group Holding
RPLAN  # Ranplan Group
REALFI  # Realfiction Holding
RUG  # RugVista Group
S2M  # S2Medical
SFL  # Safello Group
SFTR  # Safeture
SALT-B  # SaltX Technology Holding
YIELD  # SaveLend Group
SAXG  # Saxlund Group
SBOK-B  # ScandBook Holding
SDOS  # ScandiDos
SES  # Scandinavian Enviro Systems
HEART  # Scandinavian Real Heart
SCIB  # Scibase Holding
STW  # SeaTwirl
SENZA  # SenzaGen
SERT  # Serstech
SNM-SDB  # ShaMaran Petroleum Ltd
SIBEK  # SIBEK
SIVI  # Siljansvik
SIMRIS-B  # Simris Group
SKOLON  # Skolon
SEYE  # Smart Eye
SOLNA  # Solnaberg Property
SOLT  # SolTech Energy Sweden
SONE  # Sonetel
SPAGO  # Spago Nanomedical
SPEC  # SpectraCure
SPEONE  # SpectrumOne
SPOTR  # Spotr Group
SPRINT  # Sprint Bioscience
STIL  # Stille
SUBGEN  # Subgen AI
SUMMAS  # Summa Defence Oyj
SUS  # Surgical Science Sweden
AERO  # Svenska Aerogel Holding
BUY  # Sweden BuyersClub
SECARE  # Swedencare
TAGM-B  # TagMaster
TALK  # TalkPool
TELLUS  # Tellusgruppen
TSEC  # Tempest Security
TENEO  # Teneo AI
TEQ  # Teqnion
TERNOR  # Terranor Group
TINGS-A  # Tingsvalvet Fastighets
TITA-B  # Titania Holding
TOURN  # Tourn International
TRAIN-B  # Train Alliance
TRIBO-B  # Tribox Group
UNIBAP  # Unibap Space Solutions
UTG  # Unlimited Travel Group
UPSALE  # Upsales Technology
USWE  # USWE Sports
VERT-B  # Vertiseit
VER  # Verve Group Media
VETT  # Vetted Assets
VSSAB-B  # Viking Supply Ships
VIMAB  # Vimab Group
VO2  # VO2 Cap Holding
VUXEN  # Vuxen Group
W5  # W5 Solutions
WAYS  # Waystream Group
WRV  # WebRock Ventures
WPAY  # Westpay
WPTG-B  # White Pearl Technology Group
WSG  # WS WeSports Group
WYLD  # Wyld Networks
XINT  # Xintela
XMR  # XMReality
XPC  # XP Chemistries
ZAPLOX  # Zaplox
ZZ-B  # Zinzino
